Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.868,0.0,0.073,1.0,0.46,1.0,0.504,1.0,0.345
RR,0.08,0.871,0.098,0.071,0.998,0.468,0.998,0.511,0.991,0.35
BRR,0.0,0.869,0.0,0.072,1.0,0.465,1.0,0.509,1.0,0.348
lSVR,0.118,0.871,0.236,0.073,0.972,0.464,0.971,0.501,0.947,0.339
SVR,0.235,0.902,0.378,0.086,0.948,0.464,0.93,0.508,0.876,0.345
RFR,0.374,0.883,0.13,0.053,0.981,0.443,0.964,0.496,0.902,0.338
KRR,0.004,0.9,0.005,0.071,1.0,0.431,1.0,0.5,1.0,0.339
GPR,0.0,0.984,0.0,0.063,1.0,0.144,1.0,0.307,1.0,0.201
XGB,0.553,0.941,0.474,0.089,0.982,0.312,0.983,0.323,0.958,0.235
