Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.92,0.0,0.075,1.0,0.412,1.0,0.448,1.0,0.311
RR,0.24,0.922,0.231,0.072,0.984,0.43,0.983,0.471,0.947,0.328
BRR,0.0,0.923,0.0,0.074,1.0,0.414,1.0,0.452,1.0,0.314
lSVR,0.271,0.929,0.254,0.077,0.944,0.419,0.913,0.451,0.849,0.31
SVR,0.268,0.931,0.25,0.092,0.94,0.427,0.908,0.471,0.849,0.326
RFR,0.357,0.942,0.107,0.053,0.984,0.349,0.964,0.389,0.902,0.265
KRR,0.057,0.941,0.095,0.06,0.995,0.361,0.993,0.412,0.982,0.282
GPR,0.0,0.98,0.0,0.05,1.0,0.221,1.0,0.332,1.0,0.22
XGB,0.602,0.985,0.476,0.075,0.969,0.216,0.982,0.219,0.949,0.151
