Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.854,0.0,0.061,1.0,0.505,1.0,0.549,1.0,0.379
RR,0.204,0.858,0.409,0.061,0.997,0.514,0.993,0.547,0.982,0.377
BRR,0.0,0.858,0.0,0.06,1.0,0.506,1.0,0.547,1.0,0.378
lSVR,0.406,0.864,0.559,0.077,0.918,0.427,0.903,0.448,0.831,0.303
SVR,0.261,0.856,0.459,0.079,0.946,0.485,0.973,0.517,0.947,0.355
RFR,0.382,0.859,0.146,0.055,0.982,0.509,0.964,0.538,0.902,0.369
KRR,0.004,0.886,0.004,0.065,1.0,0.441,1.0,0.464,1.0,0.316
GPR,0.0,0.992,0.0,0.048,1.0,0.145,1.0,0.326,1.0,0.212
XGB,0.606,0.922,0.478,0.072,0.98,0.443,0.99,0.487,0.97,0.356
