Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.89,0.0,0.088,1.0,0.502,0.999,0.547,0.998,0.373
RR,0.005,0.893,0.009,0.086,1.0,0.503,0.999,0.547,0.998,0.374
BRR,0.0,0.893,0.0,0.086,1.0,0.503,0.999,0.546,0.998,0.373
lSVR,0.174,0.87,0.213,0.032,0.943,0.493,0.962,0.549,0.917,0.373
SVR,0.185,0.906,0.186,0.058,0.956,0.492,0.951,0.539,0.89,0.366
RFR,0.337,0.861,0.046,0.081,0.968,0.453,0.961,0.485,0.891,0.329
KRR,0.006,0.919,0.005,0.077,1.0,0.453,0.999,0.529,0.998,0.357
GPR,0.0,0.972,0.0,0.048,1.0,0.289,1.0,0.473,1.0,0.31
XGB,0.263,0.946,0.222,0.075,0.994,0.46,0.993,0.466,0.977,0.343
