Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.01,0.987,0.013,0.072,0.999,0.297,0.98,0.264,0.961,0.184
RR,0.202,1.005,0.147,0.059,0.974,0.241,0.926,0.193,0.827,0.135
BRR,0.013,1.001,0.016,0.086,0.999,0.272,0.98,0.232,0.961,0.162
lSVR,0.413,1.021,0.251,0.011,0.776,0.068,0.686,0.088,0.583,0.066
SVR,0.334,1.083,0.3,0.164,0.783,0.139,0.89,0.182,0.798,0.126
RFR,0.199,0.995,0.082,0.055,0.989,0.229,0.921,0.197,0.835,0.137
KRR,0.01,1.007,0.013,0.019,0.999,0.144,0.978,0.045,0.957,0.03
GPR,0.01,1.013,0.013,0.003,0.999,0.018,0.98,0.114,0.961,0.084
XGB,0.354,1.057,0.243,0.117,0.972,0.348,0.961,0.39,0.914,0.304
