Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.612,0.0,0.044,1.0,0.574,0.998,0.59,0.993,0.421
RR,0.053,0.613,0.066,0.038,0.999,0.577,0.986,0.593,0.957,0.423
BRR,0.0,0.614,0.0,0.044,1.0,0.571,0.998,0.587,0.993,0.418
lSVR,0.855,0.787,0.173,0.016,0.726,0.501,0.77,0.504,0.573,0.344
SVR,0.202,0.831,0.392,0.219,0.956,0.442,0.964,0.459,0.93,0.322
RFR,0.35,0.673,0.047,0.021,0.972,0.515,0.95,0.519,0.859,0.363
KRR,0.0,0.656,0.0,0.06,1.0,0.578,0.998,0.614,0.993,0.436
GPR,0.0,0.8,0.0,0.001,1.0,0.009,1.0,0.43,1.0,0.291
XGB,0.565,0.757,0.136,0.026,0.969,0.345,0.978,0.431,0.939,0.334
