Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.665,0.0,0.043,1.0,0.537,0.998,0.556,0.993,0.387
RR,0.015,0.699,0.025,0.037,1.0,0.52,0.998,0.518,0.993,0.357
BRR,0.0,0.7,0.0,0.038,1.0,0.52,0.998,0.518,0.993,0.357
lSVR,0.059,0.65,0.079,0.031,0.991,0.544,0.984,0.569,0.949,0.397
SVR,0.119,0.698,0.109,0.066,0.979,0.52,0.973,0.528,0.94,0.364
RFR,0.19,0.649,0.038,0.025,0.986,0.582,0.964,0.602,0.895,0.422
KRR,0.018,0.689,0.017,0.034,1.0,0.531,0.998,0.532,0.993,0.368
GPR,0.0,0.669,0.0,0.03,1.0,0.565,0.998,0.573,0.993,0.4
XGB,0.056,0.79,0.095,0.03,0.999,0.364,0.998,0.352,0.993,0.257
