Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.626,0.0,0.025,1.0,0.577,1.0,0.584,1.0,0.409
RR,0.142,0.637,0.249,0.022,0.983,0.583,0.964,0.588,0.92,0.411
BRR,0.0,0.633,0.0,0.029,1.0,0.574,1.0,0.58,1.0,0.405
lSVR,0.188,0.664,0.377,0.071,0.908,0.558,0.942,0.541,0.902,0.373
SVR,0.199,0.676,0.361,0.063,0.939,0.569,0.893,0.566,0.849,0.393
RFR,0.265,0.626,0.098,0.034,0.983,0.563,0.952,0.548,0.884,0.38
KRR,0.004,0.634,0.008,0.041,1.0,0.577,1.0,0.575,1.0,0.402
GPR,0.0,0.691,0.0,0.091,1.0,0.366,1.0,0.462,1.0,0.32
XGB,0.427,0.717,0.202,0.055,0.984,0.423,0.98,0.45,0.947,0.339
