Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.623,0.0,0.027,1.0,0.581,1.0,0.54,1.0,0.373
RR,0.142,0.643,0.284,0.044,0.984,0.583,0.988,0.554,0.964,0.385
BRR,0.0,0.623,0.0,0.026,1.0,0.58,1.0,0.537,1.0,0.371
lSVR,0.314,0.69,0.397,0.093,0.904,0.555,0.888,0.533,0.822,0.368
SVR,0.151,0.656,0.301,0.062,0.964,0.563,0.879,0.494,0.849,0.338
RFR,0.273,0.639,0.104,0.013,0.982,0.59,0.952,0.547,0.867,0.382
KRR,0.001,0.647,0.003,0.031,1.0,0.579,1.0,0.555,1.0,0.385
GPR,0.0,0.758,0.0,0.063,1.0,0.345,1.0,0.517,1.0,0.357
XGB,0.492,0.723,0.279,0.052,0.981,0.491,0.978,0.505,0.945,0.392
