Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.588,0.0,0.158,1.0,0.815,0.96,0.463,0.924,0.375
RR,0.0,0.582,0.0,0.174,1.0,0.818,0.96,0.465,0.924,0.377
BRR,0.0,0.582,0.0,0.174,1.0,0.818,0.96,0.465,0.924,0.377
lSVR,0.016,0.422,0.031,0.048,0.999,0.693,0.96,0.39,0.924,0.314
SVR,0.012,0.605,0.021,0.181,0.999,0.798,0.957,0.462,0.915,0.374
RFR,0.355,0.453,0.098,0.08,0.986,0.815,0.891,0.434,0.781,0.351
KRR,0.005,0.536,0.001,0.153,1.0,0.821,0.957,0.463,0.915,0.375
GPR,0.0,0.533,0.0,0.115,1.0,0.67,0.972,0.461,0.948,0.372
XGB,0.094,0.918,0.13,0.261,0.999,0.568,0.999,0.482,0.994,0.448
