Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.412,0.0,0.058,1.0,0.741,0.558,0.473,0.482,0.381
RR,0.149,0.43,0.149,0.049,0.993,0.742,0.558,0.478,0.481,0.385
BRR,0.0,0.413,0.0,0.06,1.0,0.74,0.558,0.474,0.481,0.381
lSVR,0.183,0.433,0.175,0.051,0.927,0.651,0.558,0.461,0.481,0.371
SVR,0.232,0.367,0.164,0.004,0.959,0.71,0.558,0.479,0.481,0.386
RFR,0.16,0.37,0.065,0.054,0.991,0.773,0.588,0.469,0.523,0.387
KRR,0.0,0.375,0.001,0.045,1.0,0.762,0.558,0.484,0.481,0.39
GPR,0.0,0.479,0.0,0.093,1.0,0.565,0.567,0.481,0.498,0.387
XGB,0.26,0.43,0.516,0.087,1.0,0.334,0.999,0.286,0.994,0.277
