Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.368,0.0,0.044,1.0,0.869,0.889,0.485,0.82,0.394
RR,0.0,0.367,0.0,0.042,1.0,0.87,0.888,0.484,0.816,0.393
BRR,0.0,0.367,0.0,0.042,1.0,0.87,0.888,0.484,0.816,0.393
lSVR,0.0,0.323,0.0,0.017,1.0,0.872,0.888,0.481,0.816,0.391
SVR,0.0,0.405,0.0,0.058,1.0,0.844,0.888,0.482,0.816,0.392
RFR,0.281,0.43,0.099,0.031,0.994,0.843,0.799,0.467,0.709,0.379
KRR,0.006,0.361,0.001,0.039,1.0,0.873,0.888,0.484,0.816,0.393
GPR,0.0,0.339,0.0,0.025,1.0,0.871,0.888,0.484,0.816,0.392
XGB,0.181,0.51,0.148,0.088,0.998,0.641,0.981,0.525,0.968,0.494
