Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.324,0.0,0.036,1.0,0.429,1.0,0.413,1.0,0.283
RR,0.288,1.345,0.353,0.033,0.991,0.438,0.976,0.425,0.929,0.291
BRR,0.0,1.33,0.0,0.035,1.0,0.425,1.0,0.408,1.0,0.279
lSVR,0.397,1.368,0.564,0.084,0.931,0.408,0.952,0.396,0.911,0.27
SVR,0.431,1.397,0.453,0.074,0.89,0.375,0.976,0.364,0.929,0.248
RFR,0.557,1.398,0.06,0.019,0.987,0.374,0.964,0.359,0.902,0.243
KRR,0.003,1.379,0.003,0.059,1.0,0.393,1.0,0.4,1.0,0.272
GPR,0.0,1.465,0.0,0.044,1.0,0.236,1.0,0.366,1.0,0.245
XGB,1.296,1.503,0.446,0.018,0.961,0.135,0.946,0.114,0.882,0.087
