Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.461,0.0,0.058,1.0,0.289,0.999,0.249,0.998,0.169
RR,0.23,1.459,0.414,0.048,0.993,0.313,0.99,0.278,0.971,0.189
BRR,0.0,1.474,0.0,0.071,1.0,0.307,0.999,0.27,0.998,0.184
lSVR,0.649,1.482,0.667,0.033,0.866,0.275,0.87,0.236,0.766,0.158
SVR,0.226,1.475,0.398,0.067,0.966,0.312,0.953,0.285,0.927,0.194
RFR,0.462,1.488,0.148,0.046,0.984,0.204,0.973,0.167,0.927,0.112
KRR,0.001,1.484,0.003,0.014,1.0,0.264,0.999,0.24,0.998,0.162
GPR,0.0,1.503,0.0,0.027,1.0,0.12,0.999,0.232,0.998,0.155
XGB,0.802,1.526,0.365,0.042,0.983,0.1,0.978,0.118,0.942,0.092
