Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.949,0.0,0.081,1.0,0.418,0.923,0.415,0.867,0.308
RR,0.207,0.954,0.255,0.084,0.985,0.413,0.892,0.413,0.825,0.305
BRR,0.0,0.937,0.0,0.1,1.0,0.42,0.923,0.418,0.867,0.31
lSVR,0.83,1.058,0.478,0.027,0.735,0.214,0.669,0.212,0.547,0.154
SVR,0.717,1.006,0.401,0.117,0.892,0.378,0.852,0.397,0.733,0.296
RFR,0.351,0.889,0.127,0.062,0.991,0.438,0.921,0.428,0.857,0.32
KRR,0.0,1.022,0.0,0.029,1.0,0.316,0.923,0.377,0.867,0.279
GPR,0.0,1.062,0.0,0.002,1.0,0.049,0.977,0.386,0.96,0.289
XGB,0.675,1.017,0.242,0.106,0.984,0.157,0.988,0.143,0.964,0.125
