Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.011,0.0,0.081,1.0,0.275,0.998,0.219,0.993,0.16
RR,0.401,0.955,0.283,0.056,0.977,0.384,0.978,0.313,0.928,0.23
BRR,0.0,1.036,0.0,0.056,1.0,0.328,0.997,0.274,0.991,0.201
lSVR,0.821,1.009,0.578,0.034,0.794,0.401,0.812,0.34,0.685,0.25
SVR,0.67,1.033,0.445,0.131,0.857,0.368,0.893,0.27,0.777,0.196
RFR,0.459,0.993,0.09,0.063,0.987,0.288,0.982,0.196,0.937,0.143
KRR,0.063,0.985,0.12,0.034,0.997,0.363,0.995,0.258,0.982,0.189
GPR,0.0,1.05,0.0,0.005,1.0,0.012,0.997,0.207,0.991,0.153
XGB,0.944,1.059,0.202,0.097,0.98,0.086,0.977,0.054,0.937,0.044
