Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.966,0.0,0.032,1.0,0.318,0.997,0.163,0.991,0.12
RR,0.515,0.95,0.426,0.086,0.969,0.351,0.97,0.208,0.92,0.152
BRR,0.0,0.966,0.0,0.108,1.0,0.324,0.997,0.187,0.991,0.137
lSVR,0.788,1.01,0.655,0.055,0.85,0.413,0.881,0.283,0.769,0.211
SVR,0.665,0.99,0.476,0.124,0.867,0.331,0.851,0.202,0.751,0.148
RFR,0.445,1.104,0.099,0.099,0.985,0.209,0.968,0.111,0.902,0.082
KRR,0.245,0.998,0.481,0.044,0.974,0.355,0.985,0.203,0.955,0.149
GPR,0.0,1.05,0.0,0.005,1.0,0.006,1.0,0.115,1.0,0.085
XGB,0.711,1.164,0.493,0.128,0.979,0.089,0.982,0.084,0.953,0.072
