Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.023,0.0,0.109,1.0,0.268,0.893,0.242,0.828,0.179
RR,0.419,0.995,0.243,0.075,0.982,0.287,0.87,0.27,0.786,0.2
BRR,0.0,1.039,0.0,0.107,1.0,0.272,0.892,0.241,0.826,0.179
lSVR,0.564,1.029,0.326,0.064,0.743,0.273,0.711,0.239,0.591,0.181
SVR,0.658,1.098,0.241,0.143,0.791,0.105,0.775,0.096,0.634,0.071
RFR,0.342,1.039,0.099,0.104,0.99,0.119,0.887,0.067,0.808,0.048
KRR,0.006,1.005,0.013,0.083,1.0,0.215,0.892,0.207,0.826,0.154
GPR,0.0,1.063,0.0,0.003,1.0,0.024,0.955,0.138,0.927,0.104
XGB,0.742,1.059,0.281,0.115,0.97,-0.087,0.988,-0.124,0.965,-0.108
