Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.146,0.0,0.072,1.0,0.506,1.0,0.528,1.0,0.363
RR,0.547,1.174,0.282,0.064,0.98,0.532,0.918,0.556,0.831,0.382
BRR,0.0,1.146,0.0,0.071,1.0,0.521,1.0,0.541,1.0,0.373
lSVR,0.995,1.277,0.542,0.099,0.769,0.381,0.721,0.399,0.52,0.269
SVR,0.917,1.318,0.493,0.08,0.744,0.292,0.787,0.423,0.618,0.283
RFR,0.514,1.192,0.068,0.06,0.986,0.473,0.959,0.486,0.893,0.335
KRR,0.0,1.255,0.0,0.06,1.0,0.355,1.0,0.452,1.0,0.305
GPR,0.0,1.352,0.0,0.003,1.0,0.042,1.0,0.353,1.0,0.232
XGB,1.114,1.317,0.181,0.031,0.961,0.322,0.939,0.324,0.868,0.253
