Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.244,0.0,0.121,1.0,0.403,1.0,0.41,1.0,0.276
RR,0.342,1.243,0.299,0.128,0.978,0.425,0.964,0.436,0.893,0.296
BRR,0.0,1.271,0.0,0.139,1.0,0.39,1.0,0.397,1.0,0.268
lSVR,0.549,1.286,0.511,0.116,0.882,0.419,0.884,0.42,0.778,0.287
SVR,0.55,1.277,0.446,0.116,0.84,0.428,0.879,0.451,0.787,0.306
RFR,0.433,1.241,0.095,0.091,0.983,0.41,0.968,0.419,0.911,0.282
KRR,0.0,1.24,0.0,0.105,1.0,0.365,1.0,0.452,1.0,0.306
GPR,0.0,1.345,0.0,0.021,1.0,0.117,1.0,0.366,1.0,0.243
XGB,0.716,1.388,0.524,0.121,0.983,0.271,0.976,0.29,0.937,0.212
