Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.189,0.0,0.102,1.0,0.476,1.0,0.492,1.0,0.335
RR,0.257,1.204,0.332,0.097,0.985,0.49,0.981,0.513,0.938,0.349
BRR,0.0,1.199,0.0,0.113,1.0,0.475,1.0,0.49,1.0,0.333
lSVR,0.541,1.256,0.529,0.106,0.907,0.514,0.879,0.54,0.778,0.369
SVR,0.497,1.266,0.485,0.106,0.887,0.481,0.879,0.531,0.778,0.36
RFR,0.429,1.221,0.095,0.084,0.979,0.448,0.961,0.459,0.893,0.311
KRR,0.009,1.263,0.011,0.086,1.0,0.384,0.998,0.49,0.991,0.331
GPR,0.0,1.348,0.0,0.017,1.0,0.131,1.0,0.369,1.0,0.246
XGB,0.723,1.504,0.609,0.222,0.984,0.201,0.976,0.207,0.939,0.156
