Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.215,0.0,0.054,1.0,0.398,1.0,0.407,1.0,0.277
RR,0.782,1.24,0.104,0.031,0.97,0.433,0.893,0.457,0.76,0.309
BRR,0.0,1.21,0.0,0.061,1.0,0.411,1.0,0.418,1.0,0.285
lSVR,1.247,1.331,0.211,0.028,0.703,0.349,0.644,0.372,0.422,0.248
SVR,1.15,1.354,0.173,0.036,0.693,0.236,0.743,0.31,0.538,0.202
RFR,0.564,1.2,0.056,0.027,0.982,0.456,0.952,0.477,0.876,0.325
KRR,0.0,1.272,0.0,0.044,1.0,0.312,1.0,0.4,1.0,0.267
GPR,0.0,1.35,0.0,0.004,1.0,0.056,1.0,0.331,1.0,0.217
XGB,1.123,1.325,0.184,0.031,0.961,0.295,0.934,0.299,0.863,0.228
