Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.136,0.0,0.033,,,,,,
RR,0.03,0.132,0.056,0.031,,,,,,
BRR,0.0,0.142,0.0,0.042,,,,,,
lSVR,0.062,0.09,0.064,0.007,,,,,,
SVR,0.059,0.115,0.057,0.014,,,,,,
RFR,0.036,0.104,0.035,0.008,,,,,,
KRR,0.0,0.094,0.001,0.014,,,,,,
GPR,0.0,0.096,0.0,0.001,,,,,,
XGB,0.0,0.174,0.0,0.114,,,,,,
