Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.008,0.838,0.016,0.034,0.999,0.407,0.997,0.435,0.991,0.292
RR,0.255,0.854,0.244,0.029,0.982,0.44,0.963,0.472,0.911,0.318
BRR,0.013,0.842,0.025,0.037,0.999,0.412,0.997,0.436,0.991,0.293
lSVR,0.434,0.888,0.371,0.044,0.9,0.411,0.864,0.452,0.778,0.304
SVR,0.445,0.877,0.267,0.02,0.912,0.431,0.902,0.461,0.822,0.309
RFR,0.304,0.89,0.056,0.036,0.979,0.293,0.958,0.291,0.892,0.194
KRR,0.101,0.889,0.183,0.04,0.995,0.313,0.987,0.422,0.964,0.285
GPR,0.008,0.939,0.016,0.003,0.999,0.113,0.997,0.391,0.991,0.266
XGB,0.371,0.983,0.199,0.082,0.978,0.18,0.99,0.163,0.968,0.124
