Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.008,0.867,0.016,0.048,0.999,0.357,0.997,0.384,0.991,0.257
RR,0.252,0.865,0.226,0.044,0.984,0.376,0.961,0.416,0.893,0.277
BRR,0.013,0.868,0.025,0.05,0.999,0.356,0.997,0.378,0.991,0.253
lSVR,0.482,0.906,0.342,0.027,0.88,0.353,0.856,0.403,0.778,0.269
SVR,0.461,0.893,0.141,0.036,0.846,0.396,0.848,0.459,0.715,0.309
RFR,0.287,0.91,0.049,0.057,0.985,0.29,0.963,0.313,0.892,0.21
KRR,0.103,0.891,0.186,0.038,0.995,0.298,0.987,0.398,0.964,0.265
GPR,0.008,0.936,0.016,0.007,0.999,0.154,0.998,0.366,0.993,0.244
XGB,0.374,1.046,0.264,0.128,0.985,0.155,0.989,0.129,0.966,0.098
