Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.008,0.856,0.016,0.04,0.999,0.368,0.997,0.394,0.991,0.263
RR,0.252,0.864,0.226,0.043,0.985,0.385,0.961,0.425,0.893,0.284
BRR,0.013,0.861,0.025,0.046,0.999,0.368,0.997,0.392,0.991,0.262
lSVR,0.482,0.906,0.341,0.027,0.879,0.367,0.856,0.419,0.778,0.28
SVR,0.356,0.884,0.22,0.03,0.923,0.386,0.922,0.428,0.858,0.286
RFR,0.311,0.9,0.052,0.052,0.971,0.3,0.941,0.324,0.839,0.218
KRR,0.102,0.892,0.186,0.038,0.995,0.301,0.987,0.413,0.964,0.276
GPR,0.008,0.936,0.016,0.007,0.999,0.15,0.997,0.385,0.991,0.258
XGB,0.373,1.052,0.262,0.123,0.984,0.15,0.99,0.148,0.97,0.114
