Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.813,0.0,0.034,1.0,0.455,0.999,0.464,0.998,0.314
RR,0.187,0.829,0.311,0.041,0.995,0.456,0.997,0.474,0.989,0.322
BRR,0.0,0.818,0.0,0.035,1.0,0.45,0.999,0.464,0.998,0.314
lSVR,0.482,0.858,0.467,0.072,0.943,0.448,0.907,0.464,0.828,0.313
SVR,0.524,0.864,0.461,0.083,0.895,0.383,0.89,0.411,0.81,0.28
RFR,0.388,0.827,0.107,0.026,0.98,0.427,0.958,0.415,0.882,0.28
KRR,0.216,0.86,0.429,0.045,0.992,0.422,0.991,0.456,0.971,0.308
GPR,0.0,0.938,0.0,0.001,1.0,0.049,1.0,0.358,1.0,0.237
XGB,0.808,0.91,0.185,0.02,0.973,0.352,0.969,0.344,0.921,0.268
