Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.547,0.0,0.013,1.0,0.624,0.974,0.655,0.931,0.51
RR,0.076,0.561,0.152,0.038,0.993,0.627,0.974,0.663,0.931,0.516
BRR,0.0,0.546,0.0,0.011,1.0,0.627,0.974,0.665,0.931,0.518
lSVR,0.058,0.593,0.115,0.027,0.982,0.556,0.974,0.545,0.931,0.419
SVR,0.043,0.545,0.086,0.028,0.988,0.627,0.974,0.649,0.931,0.504
RFR,0.277,0.561,0.04,0.024,0.984,0.599,0.969,0.629,0.912,0.488
KRR,0.005,0.558,0.002,0.026,1.0,0.618,0.972,0.662,0.921,0.516
GPR,0.0,0.666,0.0,0.04,1.0,0.282,0.975,0.61,0.935,0.476
XGB,0.329,0.647,0.265,0.062,0.993,0.484,0.99,0.562,0.974,0.48
