Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.71,0.0,0.026,1.0,0.215,0.943,0.07,0.906,0.049
RR,0.245,0.723,0.311,0.076,0.976,0.237,0.872,0.108,0.815,0.077
BRR,0.0,0.734,0.0,0.074,1.0,0.183,0.942,0.038,0.902,0.026
lSVR,0.408,0.703,0.432,0.018,0.874,-0.068,0.79,-0.227,0.687,-0.172
SVR,0.433,0.699,0.347,0.052,0.829,0.213,0.892,0.144,0.805,0.104
RFR,0.396,0.688,0.126,0.054,0.987,0.229,0.843,0.078,0.751,0.059
KRR,0.0,0.681,0.0,0.012,1.0,0.259,0.942,0.144,0.902,0.108
GPR,0.0,0.689,0.0,0.003,1.0,0.07,0.967,0.025,0.957,0.016
XGB,0.233,0.73,0.348,0.066,0.99,0.203,0.965,0.184,0.937,0.155
