Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.523,0.0,0.023,1.0,0.636,0.974,0.668,0.931,0.524
RR,0.015,0.522,0.03,0.023,1.0,0.636,0.974,0.669,0.931,0.525
BRR,0.0,0.522,0.0,0.023,1.0,0.637,0.974,0.669,0.931,0.525
lSVR,0.069,0.533,0.085,0.022,0.987,0.602,0.972,0.643,0.921,0.502
SVR,0.173,0.562,0.114,0.02,0.949,0.614,0.952,0.668,0.873,0.523
RFR,0.294,0.554,0.06,0.051,0.985,0.571,0.959,0.597,0.884,0.466
KRR,0.002,0.558,0.002,0.06,1.0,0.586,0.972,0.614,0.921,0.479
GPR,0.0,0.651,0.0,0.064,1.0,0.261,0.975,0.571,0.935,0.44
XGB,0.403,0.666,0.321,0.063,0.991,0.468,0.988,0.512,0.968,0.446
