Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.682,0.0,0.026,1.0,0.318,0.942,0.208,0.902,0.153
RR,0.224,0.675,0.191,0.03,0.995,0.331,0.889,0.212,0.834,0.156
BRR,0.0,0.682,0.0,0.039,1.0,0.323,0.942,0.203,0.902,0.149
lSVR,0.294,0.691,0.279,0.027,0.9,0.124,0.797,-0.058,0.715,-0.044
SVR,0.621,0.687,0.388,0.049,0.794,0.314,0.853,0.296,0.742,0.22
RFR,0.365,0.671,0.131,0.052,0.984,0.286,0.864,0.133,0.771,0.101
KRR,0.0,0.681,0.0,0.01,1.0,0.271,0.942,0.129,0.902,0.094
GPR,0.0,0.689,0.0,0.003,1.0,0.049,0.988,0.131,0.978,0.098
XGB,0.189,0.752,0.356,0.067,0.99,0.203,0.972,0.177,0.947,0.151
