Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.582,0.0,0.025,1.0,0.561,0.915,0.64,0.844,0.495
RR,0.021,0.57,0.042,0.017,1.0,0.566,0.914,0.651,0.841,0.505
BRR,0.0,0.569,0.0,0.017,1.0,0.566,0.914,0.651,0.841,0.504
lSVR,0.061,0.59,0.122,0.015,0.995,0.554,0.911,0.643,0.831,0.497
SVR,0.24,0.612,0.19,0.059,0.939,0.516,0.899,0.642,0.81,0.497
RFR,0.192,0.579,0.063,0.014,0.991,0.554,0.906,0.611,0.821,0.469
KRR,0.001,0.581,0.001,0.03,1.0,0.544,0.914,0.655,0.841,0.507
GPR,0.0,0.643,0.0,0.06,1.0,0.271,0.942,0.603,0.896,0.467
XGB,0.006,0.687,0.011,0.018,1.0,0.333,0.975,0.364,0.954,0.31
