Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.808,0.0,0.05,1.0,0.775,0.995,0.677,0.982,0.474
RR,0.012,0.791,0.025,0.031,1.0,0.78,0.995,0.679,0.982,0.476
BRR,0.0,0.789,0.0,0.033,1.0,0.781,0.995,0.68,0.982,0.477
lSVR,0.015,0.833,0.03,0.041,0.998,0.77,0.995,0.673,0.982,0.471
SVR,0.083,0.805,0.085,0.034,0.995,0.77,0.987,0.67,0.955,0.467
RFR,0.318,0.819,0.044,0.023,0.986,0.782,0.954,0.656,0.892,0.453
KRR,0.008,0.798,0.011,0.042,1.0,0.784,0.995,0.679,0.982,0.476
GPR,0.0,0.8,0.0,0.038,1.0,0.789,0.995,0.679,0.982,0.476
XGB,0.146,0.796,0.167,0.127,0.997,0.722,0.993,0.64,0.984,0.484
