Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.822,0.0,0.054,1.0,0.777,0.99,0.658,0.973,0.448
RR,0.218,0.859,0.23,0.04,0.984,0.774,0.958,0.659,0.901,0.448
BRR,0.0,0.812,0.0,0.043,1.0,0.779,0.99,0.659,0.973,0.448
lSVR,0.069,0.867,0.073,0.024,0.991,0.77,0.956,0.659,0.91,0.451
SVR,0.133,0.816,0.116,0.042,0.987,0.781,0.968,0.662,0.927,0.452
RFR,0.329,0.846,0.064,0.016,0.974,0.757,0.892,0.633,0.808,0.425
KRR,0.011,0.878,0.019,0.066,1.0,0.777,0.99,0.662,0.973,0.451
GPR,0.0,0.979,0.0,0.241,1.0,0.663,0.99,0.659,0.973,0.449
XGB,0.258,0.943,0.515,0.258,0.993,0.659,0.979,0.567,0.954,0.409
