Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.81,0.0,0.049,1.0,0.819,0.99,0.679,0.973,0.463
RR,0.032,0.793,0.059,0.028,0.999,0.821,0.99,0.68,0.973,0.464
BRR,0.0,0.787,0.0,0.031,1.0,0.821,0.99,0.68,0.973,0.464
lSVR,0.078,0.901,0.156,0.063,0.995,0.814,0.977,0.678,0.937,0.462
SVR,0.056,0.799,0.068,0.044,0.999,0.824,0.99,0.671,0.973,0.458
RFR,0.301,0.796,0.066,0.054,0.981,0.801,0.944,0.658,0.89,0.444
KRR,0.016,0.859,0.021,0.124,1.0,0.806,0.99,0.676,0.973,0.46
GPR,0.0,0.844,0.0,0.023,1.0,0.817,0.99,0.684,0.973,0.469
XGB,0.125,0.842,0.249,0.091,0.998,0.696,0.994,0.622,0.982,0.459
