Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,2.078,0.0,0.691,1.0,-0.197,1.0,-0.169,1.0,-0.108
RR,0.055,2.013,0.076,0.727,0.985,-0.214,0.978,-0.174,0.956,-0.11
BRR,0.016,2.06,0.032,0.712,0.995,-0.211,0.998,-0.176,0.991,-0.111
lSVR,0.192,1.534,0.265,0.153,0.889,0.246,0.876,0.201,0.804,0.14
SVR,0.076,2.087,0.095,0.812,0.951,-0.11,0.888,-0.08,0.849,-0.05
RFR,0.158,1.72,0.084,0.382,0.986,-0.168,0.937,-0.133,0.849,-0.084
KRR,0.053,1.906,0.103,0.61,0.978,-0.199,0.978,-0.125,0.956,-0.078
GPR,0.0,1.636,0.0,0.223,1.0,-0.162,1.0,-0.059,1.0,-0.035
XGB,0.326,1.568,0.205,0.124,0.963,-0.278,0.969,-0.287,0.923,-0.228
