Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,2.469,0.0,1.157,1.0,-0.213,1.0,-0.178,1.0,-0.114
RR,0.065,1.933,0.087,0.676,0.984,-0.171,0.985,-0.14,0.964,-0.088
BRR,0.016,2.011,0.031,0.67,0.995,-0.174,0.998,-0.142,0.991,-0.09
lSVR,0.116,1.511,0.142,0.133,0.921,0.245,0.956,0.179,0.92,0.124
SVR,0.071,1.85,0.096,0.615,0.957,-0.154,0.898,-0.117,0.858,-0.068
RFR,0.158,1.764,0.082,0.395,0.98,-0.167,0.952,-0.149,0.893,-0.095
KRR,0.056,1.85,0.107,0.543,0.978,-0.195,0.978,-0.134,0.956,-0.085
GPR,0.0,1.634,0.0,0.244,1.0,-0.184,1.0,-0.031,1.0,-0.015
XGB,0.314,1.613,0.217,0.223,0.967,-0.255,0.97,-0.233,0.925,-0.186
