Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.817,0.0,0.056,1.0,0.783,0.99,0.664,0.973,0.453
RR,0.214,0.856,0.226,0.038,0.984,0.778,0.956,0.663,0.892,0.452
BRR,0.0,0.809,0.0,0.045,1.0,0.783,0.99,0.664,0.973,0.453
lSVR,0.068,0.863,0.072,0.023,0.992,0.773,0.956,0.664,0.91,0.454
SVR,0.112,0.839,0.102,0.049,0.993,0.786,0.98,0.668,0.945,0.457
RFR,0.332,0.838,0.053,0.04,0.979,0.765,0.913,0.632,0.835,0.425
KRR,0.071,0.864,0.116,0.064,0.997,0.78,0.987,0.666,0.963,0.455
GPR,0.0,0.976,0.0,0.243,1.0,0.665,0.99,0.663,0.975,0.453
XGB,0.258,0.943,0.515,0.258,0.993,0.668,0.979,0.578,0.954,0.418
