Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.446,0.0,0.016,1.0,0.716,0.94,0.71,0.888,0.556
RR,0.017,0.444,0.035,0.018,1.0,0.721,0.94,0.713,0.886,0.558
BRR,0.0,0.446,0.0,0.017,1.0,0.719,0.94,0.712,0.886,0.557
lSVR,0.202,0.484,0.404,0.106,0.943,0.699,0.912,0.707,0.838,0.552
SVR,0.098,0.466,0.131,0.02,0.98,0.713,0.924,0.714,0.845,0.559
RFR,0.22,0.413,0.094,0.016,0.989,0.736,0.924,0.7,0.848,0.546
KRR,0.005,0.474,0.007,0.089,1.0,0.665,0.94,0.714,0.886,0.559
GPR,0.0,0.436,0.0,0.022,1.0,0.73,0.94,0.716,0.886,0.559
XGB,0.158,0.618,0.291,0.07,0.996,0.506,0.999,0.569,0.997,0.492
