Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.519,0.0,0.037,1.0,0.64,0.855,0.665,0.785,0.515
RR,0.0,0.506,0.001,0.022,1.0,0.647,0.855,0.671,0.785,0.519
BRR,0.0,0.506,0.0,0.022,1.0,0.647,0.855,0.671,0.785,0.519
lSVR,0.2,0.567,0.147,0.07,0.943,0.611,0.819,0.634,0.712,0.492
SVR,0.199,0.521,0.119,0.039,0.915,0.649,0.836,0.675,0.73,0.524
RFR,0.18,0.481,0.043,0.041,0.983,0.636,0.855,0.625,0.781,0.482
KRR,0.001,0.563,0.002,0.071,1.0,0.564,0.855,0.654,0.785,0.507
GPR,0.0,0.679,0.0,0.043,1.0,0.206,0.928,0.599,0.899,0.46
XGB,0.241,0.613,0.254,0.049,0.974,0.319,0.975,0.349,0.949,0.311
