Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.548,0.0,0.041,1.0,0.578,0.855,0.605,0.785,0.462
RR,0.0,0.523,0.0,0.03,1.0,0.601,0.855,0.627,0.785,0.48
BRR,0.0,0.523,0.0,0.03,1.0,0.601,0.855,0.627,0.785,0.48
lSVR,0.216,0.602,0.149,0.056,0.935,0.448,0.8,0.457,0.678,0.347
SVR,0.199,0.529,0.121,0.036,0.935,0.626,0.844,0.658,0.753,0.505
RFR,0.175,0.491,0.038,0.022,0.986,0.525,0.86,0.54,0.792,0.413
KRR,0.0,0.604,0.0,0.049,1.0,0.489,0.855,0.576,0.785,0.44
GPR,0.0,0.678,0.0,0.034,1.0,0.2,0.928,0.592,0.899,0.454
XGB,0.241,0.613,0.254,0.049,0.974,0.319,0.975,0.349,0.949,0.311
