Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.012,0.0,0.085,1.0,0.672,0.987,0.682,0.968,0.517
RR,0.131,1.0,0.199,0.086,0.995,0.697,0.96,0.709,0.913,0.538
BRR,0.0,0.985,0.0,0.063,1.0,0.695,0.987,0.707,0.966,0.536
lSVR,0.237,1.065,0.38,0.179,0.986,0.697,0.928,0.711,0.877,0.54
SVR,0.058,1.004,0.07,0.084,1.0,0.683,0.984,0.695,0.957,0.527
RFR,0.419,1.015,0.026,0.07,0.986,0.682,0.948,0.681,0.857,0.512
KRR,0.004,1.029,0.003,0.146,1.0,0.689,0.987,0.698,0.966,0.529
GPR,0.0,1.305,0.0,0.275,1.0,0.32,0.995,0.645,0.986,0.474
XGB,0.518,1.345,0.452,0.158,0.993,0.36,0.971,0.373,0.943,0.296
