Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.098,0.0,0.053,1.0,0.651,0.91,0.68,0.852,0.503
RR,0.131,1.116,0.212,0.082,0.995,0.656,0.909,0.683,0.848,0.505
BRR,0.0,1.101,0.0,0.067,1.0,0.656,0.909,0.684,0.848,0.505
lSVR,0.187,1.152,0.374,0.137,0.969,0.644,0.906,0.676,0.836,0.502
SVR,0.216,1.19,0.354,0.173,0.97,0.667,0.909,0.701,0.848,0.52
RFR,0.402,1.095,0.116,0.048,0.984,0.683,0.896,0.694,0.819,0.513
KRR,0.002,1.139,0.003,0.086,1.0,0.642,0.909,0.697,0.848,0.515
GPR,0.0,1.304,0.0,0.185,1.0,0.411,0.918,0.623,0.869,0.454
XGB,0.852,1.481,0.704,0.035,0.993,0.397,0.974,0.404,0.95,0.337
