Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.146,0.0,0.052,1.0,0.653,0.909,0.694,0.85,0.517
RR,0.03,1.138,0.06,0.07,1.0,0.646,0.909,0.694,0.848,0.516
BRR,0.0,1.137,0.0,0.07,1.0,0.644,0.909,0.692,0.848,0.514
lSVR,0.177,1.191,0.222,0.055,0.994,0.655,0.909,0.696,0.848,0.52
SVR,0.375,1.239,0.459,0.21,0.971,0.628,0.909,0.689,0.848,0.512
RFR,0.414,1.1,0.083,0.034,0.982,0.648,0.891,0.653,0.81,0.484
KRR,0.001,1.214,0.003,0.059,1.0,0.623,0.909,0.696,0.848,0.518
GPR,0.0,1.27,0.0,0.133,1.0,0.522,0.946,0.702,0.902,0.522
XGB,0.859,1.486,0.696,0.038,0.988,0.287,0.958,0.282,0.924,0.24
