Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.042,0.0,0.127,1.0,0.284,0.996,0.195,0.987,0.144
RR,0.416,1.015,0.346,0.135,0.975,0.268,0.976,0.175,0.933,0.13
BRR,0.0,1.023,0.0,0.197,1.0,0.321,0.996,0.216,0.987,0.161
lSVR,0.731,1.021,0.631,0.064,0.8,0.174,0.718,0.121,0.581,0.089
SVR,0.543,1.206,0.525,0.191,0.947,0.227,0.935,0.097,0.87,0.067
RFR,0.502,1.112,0.073,0.183,0.97,0.12,0.932,0.075,0.843,0.056
KRR,0.007,1.014,0.014,0.061,1.0,0.267,0.996,0.173,0.987,0.124
GPR,0.0,1.018,0.0,0.077,1.0,0.192,0.998,0.175,0.993,0.129
XGB,0.767,1.3,0.432,0.192,0.983,-0.002,0.983,-0.039,0.955,-0.032
