Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.76,0.0,0.035,1.0,0.646,0.973,0.631,0.938,0.485
RR,0.141,0.776,0.281,0.086,0.997,0.647,0.962,0.636,0.907,0.487
BRR,0.0,0.742,0.0,0.026,1.0,0.65,0.972,0.639,0.936,0.491
lSVR,0.722,0.959,0.547,0.086,0.854,0.556,0.864,0.571,0.746,0.425
SVR,0.216,0.764,0.201,0.055,0.964,0.586,0.967,0.629,0.917,0.478
RFR,0.444,0.744,0.104,0.061,0.988,0.646,0.945,0.62,0.879,0.477
KRR,0.004,0.842,0.004,0.137,1.0,0.533,0.972,0.63,0.936,0.478
GPR,0.0,1.011,0.0,0.088,1.0,0.176,0.985,0.548,0.965,0.406
XGB,1.107,0.962,0.385,0.093,0.962,0.447,0.973,0.458,0.94,0.411
