Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.843,0.0,0.097,1.0,0.554,0.933,0.511,0.88,0.383
RR,0.202,0.865,0.247,0.105,0.989,0.531,0.905,0.491,0.847,0.368
BRR,0.0,0.85,0.0,0.1,1.0,0.565,0.933,0.521,0.88,0.39
lSVR,0.225,0.865,0.246,0.104,0.909,0.531,0.914,0.513,0.82,0.387
SVR,0.451,0.884,0.245,0.068,0.841,0.473,0.86,0.418,0.751,0.313
RFR,0.41,0.853,0.06,0.122,0.989,0.549,0.909,0.523,0.839,0.389
KRR,0.003,0.855,0.004,0.106,1.0,0.522,0.933,0.495,0.88,0.37
GPR,0.0,1.009,0.0,0.095,1.0,0.167,0.944,0.448,0.906,0.336
XGB,0.491,1.045,0.415,0.053,0.99,0.337,0.994,0.406,0.981,0.347
