Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.841,0.0,0.087,1.0,0.614,0.933,0.561,0.88,0.43
RR,0.183,0.819,0.202,0.127,0.997,0.615,0.921,0.564,0.86,0.429
BRR,0.0,0.804,0.0,0.115,1.0,0.624,0.933,0.578,0.88,0.441
lSVR,0.529,0.904,0.384,0.109,0.894,0.519,0.866,0.436,0.767,0.331
SVR,0.478,0.881,0.466,0.154,0.835,0.555,0.912,0.495,0.816,0.377
RFR,0.38,0.811,0.05,0.107,0.989,0.632,0.919,0.602,0.852,0.458
KRR,0.023,0.873,0.034,0.124,0.999,0.538,0.933,0.559,0.88,0.426
GPR,0.0,1.015,0.0,0.083,1.0,0.162,0.953,0.518,0.92,0.39
XGB,0.391,1.052,0.405,0.093,0.99,0.408,0.995,0.477,0.984,0.403
