Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.023,0.0,0.117,1.0,0.303,0.996,0.207,0.987,0.153
RR,0.424,1.002,0.353,0.111,0.976,0.28,0.976,0.186,0.933,0.137
BRR,0.0,1.004,0.0,0.157,1.0,0.331,0.996,0.225,0.987,0.166
lSVR,0.731,1.018,0.631,0.06,0.8,0.184,0.723,0.123,0.591,0.09
SVR,0.366,1.112,0.486,0.116,0.976,0.197,0.974,0.12,0.933,0.082
RFR,0.507,1.052,0.121,0.168,0.974,0.184,0.962,0.108,0.896,0.078
KRR,0.007,1.015,0.015,0.053,1.0,0.275,0.996,0.18,0.987,0.129
GPR,0.0,1.02,0.0,0.07,1.0,0.191,0.998,0.177,0.993,0.13
XGB,0.766,1.289,0.431,0.206,0.979,0.091,0.973,0.036,0.933,0.034
