Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.816,0.0,0.1,1.0,0.581,0.933,0.52,0.88,0.39
RR,0.147,0.828,0.214,0.116,0.997,0.576,0.895,0.516,0.837,0.385
BRR,0.0,0.822,0.0,0.106,1.0,0.59,0.933,0.532,0.88,0.398
lSVR,0.214,0.832,0.278,0.106,0.901,0.552,0.846,0.524,0.773,0.393
SVR,0.487,0.906,0.467,0.127,0.832,0.537,0.923,0.466,0.849,0.349
RFR,0.398,0.824,0.044,0.106,0.987,0.573,0.91,0.503,0.841,0.377
KRR,0.012,0.855,0.008,0.102,1.0,0.533,0.933,0.518,0.88,0.386
GPR,0.0,1.008,0.0,0.098,1.0,0.166,0.964,0.492,0.94,0.372
XGB,0.401,1.046,0.396,0.084,0.99,0.406,0.995,0.473,0.984,0.399
