Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.013,0.0,0.086,1.0,0.286,0.996,0.162,0.989,0.121
RR,0.355,1.034,0.375,0.125,0.984,0.251,0.964,0.146,0.915,0.11
BRR,0.0,1.047,0.0,0.168,1.0,0.275,0.996,0.159,0.987,0.12
lSVR,0.744,1.018,0.639,0.066,0.885,0.183,0.824,0.126,0.698,0.095
SVR,0.51,1.024,0.492,0.096,0.936,0.259,0.942,0.12,0.888,0.092
RFR,0.481,1.098,0.067,0.196,0.979,0.139,0.95,0.083,0.879,0.064
KRR,0.0,1.041,0.0,0.056,1.0,0.277,0.996,0.166,0.987,0.123
GPR,0.0,1.015,0.0,0.116,1.0,0.2,0.998,0.152,0.993,0.111
XGB,0.775,1.266,0.335,0.164,0.979,-0.047,0.981,-0.09,0.953,-0.078
