Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.781,0.0,0.042,1.0,0.634,0.973,0.611,0.938,0.467
RR,0.163,0.797,0.265,0.079,0.996,0.628,0.962,0.615,0.907,0.47
BRR,0.0,0.767,0.0,0.044,1.0,0.633,0.972,0.617,0.936,0.473
lSVR,0.709,0.918,0.55,0.104,0.84,0.562,0.848,0.559,0.717,0.413
SVR,0.49,0.821,0.479,0.048,0.862,0.508,0.905,0.603,0.812,0.448
RFR,0.44,0.779,0.118,0.06,0.985,0.601,0.946,0.568,0.869,0.43
KRR,0.189,0.864,0.37,0.122,0.993,0.572,0.962,0.611,0.907,0.463
GPR,0.0,1.01,0.0,0.089,1.0,0.181,0.981,0.577,0.96,0.431
XGB,0.887,0.904,0.545,0.075,0.972,0.528,0.973,0.535,0.94,0.473
