Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.826,0.0,0.05,1.0,0.59,0.972,0.58,0.936,0.445
RR,0.111,0.818,0.168,0.048,0.993,0.583,0.954,0.586,0.907,0.448
BRR,0.0,0.818,0.0,0.047,1.0,0.597,0.972,0.591,0.936,0.454
lSVR,0.279,0.864,0.399,0.107,0.873,0.554,0.919,0.566,0.84,0.426
SVR,0.262,0.834,0.164,0.053,0.923,0.557,0.919,0.563,0.84,0.424
RFR,0.426,0.825,0.063,0.074,0.979,0.525,0.939,0.522,0.87,0.393
KRR,0.004,0.842,0.003,0.096,1.0,0.549,0.972,0.596,0.936,0.454
GPR,0.0,0.965,0.0,0.111,1.0,0.258,0.987,0.562,0.97,0.417
XGB,0.955,0.947,0.339,0.083,0.963,0.472,0.977,0.494,0.947,0.437
