Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.768,0.0,0.049,1.0,0.627,0.972,0.618,0.936,0.474
RR,0.142,0.781,0.284,0.094,0.997,0.633,0.962,0.628,0.907,0.482
BRR,0.0,0.751,0.0,0.039,1.0,0.636,0.972,0.631,0.936,0.485
lSVR,0.634,0.95,0.617,0.098,0.88,0.542,0.858,0.548,0.737,0.409
SVR,0.216,0.767,0.201,0.057,0.964,0.574,0.97,0.62,0.926,0.472
RFR,0.448,0.757,0.102,0.079,0.987,0.584,0.951,0.55,0.888,0.421
KRR,0.005,0.841,0.004,0.139,1.0,0.524,0.972,0.617,0.936,0.468
GPR,0.0,1.009,0.0,0.091,1.0,0.179,0.987,0.533,0.97,0.396
XGB,1.107,0.962,0.385,0.093,0.962,0.447,0.973,0.458,0.94,0.411
