Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.022,0.0,0.115,1.0,0.305,0.996,0.208,0.989,0.154
RR,0.424,1.002,0.353,0.108,0.976,0.281,0.971,0.188,0.924,0.139
BRR,0.0,1.003,0.0,0.148,1.0,0.333,0.996,0.227,0.987,0.168
lSVR,0.731,1.019,0.631,0.06,0.8,0.182,0.718,0.122,0.581,0.089
SVR,0.366,1.124,0.484,0.133,0.977,0.215,0.974,0.109,0.933,0.076
RFR,0.499,1.068,0.121,0.128,0.968,0.181,0.945,0.106,0.861,0.078
KRR,0.007,1.017,0.015,0.054,1.0,0.269,0.996,0.179,0.987,0.128
GPR,0.0,1.022,0.0,0.071,1.0,0.189,0.998,0.176,0.993,0.13
XGB,0.766,1.289,0.431,0.206,0.979,0.091,0.973,0.036,0.933,0.034
