Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,1.022,0.0,0.148,1.0,0.453,0.998,0.384,0.993,0.289
RR,0.214,0.962,0.219,0.151,0.988,0.526,0.991,0.455,0.967,0.342
BRR,0.0,0.982,0.0,0.147,1.0,0.496,0.998,0.424,0.993,0.318
lSVR,0.897,1.075,0.586,0.122,0.913,0.507,0.945,0.435,0.859,0.327
SVR,0.483,1.017,0.464,0.108,0.928,0.511,0.947,0.474,0.877,0.356
RFR,0.502,0.898,0.096,0.075,0.979,0.491,0.971,0.409,0.922,0.308
KRR,0.098,1.015,0.193,0.166,0.994,0.411,0.996,0.286,0.984,0.215
GPR,0.0,1.098,0.0,0.146,1.0,0.202,0.999,0.211,0.998,0.158
XGB,0.76,1.127,0.533,0.223,0.978,0.394,0.98,0.356,0.946,0.298
