Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.952,0.0,0.074,1.0,0.546,0.994,0.524,0.982,0.39
RR,0.137,0.929,0.273,0.112,0.996,0.581,0.991,0.557,0.973,0.415
BRR,0.0,0.905,0.0,0.132,1.0,0.583,0.994,0.56,0.982,0.417
lSVR,0.653,1.061,0.709,0.1,0.927,0.566,0.928,0.557,0.83,0.414
SVR,0.485,1.13,0.475,0.191,0.858,0.406,0.91,0.429,0.82,0.321
RFR,0.496,0.927,0.111,0.153,0.984,0.502,0.954,0.49,0.873,0.366
KRR,0.003,1.047,0.004,0.121,1.0,0.512,0.994,0.522,0.982,0.389
GPR,0.0,1.166,0.0,0.013,1.0,0.194,0.998,0.421,0.993,0.31
XGB,0.689,1.272,0.545,0.259,0.979,0.297,0.981,0.231,0.954,0.207
