Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.962,0.0,0.049,1.0,0.635,0.995,0.563,0.984,0.425
RR,0.0,0.867,0.0,0.072,1.0,0.682,0.994,0.609,0.982,0.461
BRR,0.0,0.867,0.0,0.072,1.0,0.682,0.994,0.609,0.982,0.461
lSVR,0.683,1.086,0.686,0.081,0.946,0.682,0.943,0.613,0.848,0.463
SVR,0.21,0.989,0.311,0.238,0.936,0.565,0.943,0.525,0.883,0.396
RFR,0.521,0.856,0.094,0.137,0.984,0.648,0.924,0.57,0.837,0.431
KRR,0.004,1.014,0.005,0.137,1.0,0.57,0.994,0.571,0.982,0.431
GPR,0.0,1.169,0.0,0.006,1.0,0.15,0.997,0.45,0.991,0.336
XGB,0.758,1.088,0.513,0.092,0.985,0.361,0.981,0.33,0.95,0.275
