Model,Train MAE (log M),Test MAE (log M),Train STD (log M),Test STD (log M),Train Pearson's R,Test Pearson's R,Train Spearman's R,Test Spearman's R,Train Kendall's Tau,Test Kendall's Tau
LR,0.0,0.899,0.0,0.147,1.0,0.587,0.998,0.482,0.993,0.363
RR,0.16,0.872,0.319,0.122,0.992,0.641,0.998,0.536,0.993,0.403
BRR,0.0,0.861,0.0,0.107,1.0,0.62,0.998,0.519,0.993,0.39
lSVR,0.957,1.12,0.547,0.076,0.91,0.487,0.924,0.379,0.832,0.286
SVR,0.525,1.032,0.516,0.226,0.939,0.653,0.947,0.62,0.895,0.47
RFR,0.484,0.833,0.088,0.049,0.985,0.606,0.979,0.529,0.93,0.399
KRR,0.004,0.989,0.006,0.199,1.0,0.488,0.998,0.41,0.993,0.307
GPR,0.0,1.103,0.0,0.135,1.0,0.211,0.999,0.266,0.996,0.2
XGB,0.987,1.047,0.368,0.098,0.976,0.435,0.977,0.399,0.939,0.338
